person_id,start_frame,end_frame,num_frames,total_dist_m,avg_instant_speed_m_s,max_speed_m_s,min_speed_m_s,total_time_s,avg_traj_speed_m_s
1,1,550,475,154.90513721827364,2.44260070719217,142.9626922607422,0.06604836136102675,18.357875948237396,2.1095187925750563
2,1,67,63,19.87797514039297,2.36326194134733,23.96661186218262,0.05454519763588905,2.2363230700580097,2.222171676192266
4,1,332,287,89.33083312612514,2.331308542124486,35.57728576660156,0.06936968117952345,11.08148148148148,2.015317926475083
17,41,41,1,0.1634183594287904,1.2239991426467896,1.2239991426467896,1.2239991426467896,0.0333779562695225,1.2239991426467896
18,47,47,1,0.567693024839157,4.252005577087402,4.252005577087402,4.252005577087402,0.0333779562695225,4.252005577087402
22,57,71,13,3.046096606267344,1.7550140103468528,5.196515560150146,0.164484903216362,0.500669344042838,1.5210121423006058
102,161,314,154,8.7766959218881,0.4268650505449865,1.2219420671463013,0.06477562338113785,5.14020526550647,0.4268650505449865
158,243,322,66,34.13926063066399,3.874274989533605,17.7274227142334,0.09027818590402603,2.670236501561803,3.196276866365224
180,302,491,167,44.38304072788707,1.9905855589194925,11.587935447692873,0.06375331431627272,6.341811691209282,1.7496199386292381
203,460,615,156,22.55986410760816,1.08315883949399,5.449414730072022,0.06638824194669722,5.206961178045515,1.08315883949399
208,485,727,226,35.390926252683855,1.1729074838546525,10.429450988769531,0.06600017845630644,8.110843373493976,1.0908522277825163
215,515,655,130,51.55079909776375,2.970108514451064,19.194801330566406,0.1487753689289093,4.706291834002677,2.7383979211250944
233,546,548,3,0.7530389768318745,1.8800806005795796,3.266333341598511,0.5099000334739685,0.1001338688085676,1.8800806005795796
277,642,642,1,0.1715750255525138,1.2850923538208008,1.2850923538208008,1.2850923538208008,0.0333779562695225,1.2850923538208006
283,680,690,11,4.805047670734189,3.2717889615080575,7.046465873718262,0.24314190447330475,0.3671575189647478,3.2717889615080575
322,892,892,1,0.0819556525646177,0.6138456463813782,0.6138456463813782,0.6138456463813782,0.0333779562695225,0.6138456463813781
326,895,1010,116,7.853052279024665,0.5070616516830593,2.9288506507873535,0.02284107729792595,3.871842927264614,0.5070616516830593
370,943,1187,245,24.279356668836996,0.7422519684446102,4.010813236236572,0.035420626401901224,8.17759928603302,0.7422519684446102
412,968,997,30,7.508384657608298,1.8745866775512696,4.395173072814941,0.08786043524742125,1.001338688085676,1.8745866775512696
445,1013,1359,347,34.286902193328146,0.7400806359248907,8.553289413452148,0.008662521839141825,11.58215082552432,0.7400806359248907
447,1014,1015,2,0.4787602815070571,1.7929508537054062,3.287099599838257,0.29880210757255554,0.066755912539045,1.792950853705406
452,1023,1024,2,0.7989877408022117,2.992198407649994,5.205153942108154,0.7792428731918335,0.066755912539045,2.992198407649994
482,1079,1079,1,0.3581137511199311,2.682262420654297,2.682262420654297,2.682262420654297,0.0333779562695225,2.6822624206542964
508,1109,1109,1,0.6095880616514452,4.565798282623291,4.565798282623291,4.565798282623291,0.0333779562695225,4.565798282623291
523,1187,1193,7,1.941364139150903,2.0772522134440288,6.693629741668701,0.09523075819015503,0.2336456938866577,2.0772522134440288
